record_id,EB correction,count,mean,std,min,25%,50%,75%,max
101127,1.0,10.0,91.485126177,27.36240865336821,50.68493151,79.16666667,85.97291559,92.5245308975,142.3913043
101127,2.0,10.0,-29.821573434599998,17.73772483995319,-58.12807882,-36.2094395275,-27.75862069,-15.97938144,-7.951070336
101127,3.0,10.0,7.143133549800001,15.404252923100476,-11.45833333,-5.17858965225,6.593791759,11.22653556625,33.18584071
101127,4.0,10.0,17.7029479689,10.233710591271027,6.25,8.69963369925,16.773458855,23.370133262499998,36.75675676
101316,1.0,2.0,-4.533077854,2.189207158220717,-6.081081081,-5.3070794674999995,-4.533077854,-3.7590762404999998,-2.985074627
101316,3.0,2.0,-0.23815194094999997,0.6230757538637813,-0.6787330317,-0.45844248632499995,-0.23815194095,-0.017861395574999994,0.2024291498
101390,1.0,12.0,106.35251313158331,97.49491429865765,2.448979592,33.74591672,70.50279347,169.81487247500002,277.9837635
101390,2.0,12.0,-33.4824404035,14.016824832670258,-56.78387355,-42.615019755000006,-37.197433345,-21.859010632500002,-8.706467662
101390,3.0,12.0,-9.403684714333336,22.872115161720938,-46.3454866,-30.98657642,-6.9956822115,7.4577389167499994,22.33333333
101624,1.0,4.0,-88.49115667000001,46.01438157861574,-129.4701641,-119.72776677499999,-98.9868515,-67.750241395,-26.52075958
101624,3.0,4.0,-24.238848857500003,30.18671749879824,-51.09062134,-44.675909995,-31.173655000000004,-10.736593862500001,16.48253591
102268,1.0,8.0,45.70357628250001,21.191471077465305,15.06707946,34.05790787,48.933021805,58.53980525,70.95238095
102268,3.0,8.0,24.381505016250003,10.298066988840565,15.76923077,18.1145370275,19.989030375,27.248597477500002,40.81325301
102448,2.0,4.0,-3.4799199075000002,17.988940819763943,-23.07692308,-16.590126295,-1.543827255,11.5663791325,12.24489796
102448,3.0,4.0,37.83968094225,27.2569049738006,7.594936709,18.38809587725,41.284878604999996,60.73646367,61.19402985
102849,1.0,3.0,26.743613786666668,6.415012826385751,20.41343669,23.495308950000002,26.57718121,29.908702335,33.24022346
102849,2.0,3.0,-1.4524321343333335,3.2165575605228645,-4.618473896,-3.0848315705000005,-1.551189245,0.13058874649999996,1.812366738
103486,1.0,4.0,58.00731944500001,50.294262297058204,12.53968254,24.223356007499998,46.949812370000004,80.7337758075,125.5899705
103486,2.0,4.0,-29.3886496475,9.652483383428837,-39.65910616,-35.81505355,-30.002638175,-23.576234272500002,-17.89021608
103486,3.0,4.0,-9.3806751675,19.616493612194414,-26.77781056,-19.1760106225,-14.712891225,-4.91755577,18.68089234
103789,1.0,16.0,46.0875,57.84241667381011,-17.9,12.649999999999999,24.25,68.2,160.2
103789,2.0,16.0,21.412499999999998,53.828454371270965,-34.2,-12.0,-3.1499999999999995,40.175,148.6
200384,1.0,4.0,40.48055017275,31.5053527667131,6.653556211,25.44922872775,36.440641725,51.471963169999995,82.38736103
200384,2.0,4.0,-13.10483216375,15.323424736555744,-31.07777097,-22.6777997175,-12.219982421000001,-2.6470148672500002,3.098407157
